,accuracy,cohen_kappa,macro_f1
AHI,0.1874726620593124,0.043548245997725485,-0.11500306184935702
Age,-0.3131370107931385,-0.21987226887448158,-0.27016064696507847
BMI,0.10610952237107697,0.08129697244987194,0.05966910806157196
Mean_Heart_Rate,0.093506675527796,-0.027751045543990355,-0.07264964760318281
NREM_Time,0.30723871923513657,0.16617382063762698,0.20146629154697665
Obstructive_Apnea_Index,0.16866335959278542,0.0697499848503248,-0.09285960247243241
PLM_Index,-0.41819291819291815,-0.37545787545787546,-0.36446886446886445
RDI,0.1856196799973049,0.043933548541166226,-0.11526651445209203
REM_Latency,0.09889103106438146,-0.0023286442366057783,-0.052718978536927544
REM_Time,0.15048382381839243,0.26768622520625207,0.3305219707099552
Ratio_of_NREM_Time_to_TIB,0.35036790343602797,0.14332834725288446,0.09846277743767315
Ratio_of_REM_Time_to_TIB,0.15403324643378058,0.2752580937918667,0.32153980875464633
Ratio_of_Saturation_below_90%,0.16956001332125634,0.01593315457867157,-0.17059557752990429
Sleep_Efficiency,0.37635490402876653,0.2616112749901495,0.2733690851020664
Sleep_Latency,-0.298286982389759,-0.15267993739999344,-0.13102358118352836
Time_in_Bed(TIB),-0.07229843235044427,-0.029640257599625505,0.13814039772670803
Total_Arousal_Index,0.06897463173685899,-0.06996681755172263,-0.19999631211036845
Total_Hypopnea_Index,0.18129964659666972,0.15862406833096004,0.15822164680309633
Total_Sleep_Time(TST),0.3342635933384709,0.27041686741237786,0.33692314454175015
Total_Wake_Time(TWT),-0.3596962441663365,-0.22545537316161146,-0.21775647023641864
Wake_after_Sleep_Onset(WASO),-0.3126317724400744,-0.21659215978484897,-0.21361771377439379
