Testing 1000 samples...
====================================================================================================
✅ A2019-EM-01-0001: Labels match (819 epochs, FPS=4.995)

✅ A2019-EM-01-0002: Labels match (784 epochs, FPS=4.995)

✅ A2019-EM-01-0003: Labels match (1010 epochs, FPS=5.0)

✅ A2019-EM-01-0004: Labels match (872 epochs, FPS=4.995)

✅ A2019-EM-01-0005: Labels match (793 epochs, FPS=4.995)

✅ A2019-EM-01-0006: Labels match (822 epochs, FPS=4.995)

✅ A2019-EM-01-0007: Labels match (844 epochs, FPS=4.995)

✅ A2019-EM-01-0008: Labels match (633 epochs, FPS=4.995)

✅ A2019-EM-01-0009: Labels match (891 epochs, FPS=4.995)

✅ A2019-EM-01-0011: Labels match (971 epochs, FPS=4.995)

✅ A2019-EM-01-0012: Labels match (732 epochs, FPS=5.0)

✅ A2019-EM-01-0013: Labels match (877 epochs, FPS=4.995)

✅ A2019-EM-01-0014: Labels match (954 epochs, FPS=4.995)

✅ A2019-EM-01-0015: Labels match (799 epochs, FPS=4.995)

✅ A2019-EM-01-0016: Labels match (796 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0019: Labels match (716 epochs, FPS=4.995)

✅ A2019-EM-01-0021: Labels match (866 epochs, FPS=4.995)

✅ A2019-EM-01-0022: Labels match (739 epochs, FPS=4.995)

✅ A2019-EM-01-0023: Labels match (849 epochs, FPS=4.995)

✅ A2019-EM-01-0024: Labels match (834 epochs, FPS=5.0)

✅ A2019-EM-01-0025: Labels match (880 epochs, FPS=4.995)

✅ A2019-EM-01-0027: Labels match (894 epochs, FPS=4.995)

✅ A2019-EM-01-0028: Labels match (809 epochs, FPS=4.944444444444445)

✅ A2019-EM-01-0029: Labels match (890 epochs, FPS=4.995)

✅ A2019-EM-01-0030: Labels match (832 epochs, FPS=4.995)

✅ A2019-EM-01-0031: Labels match (873 epochs, FPS=5.0)

✅ A2019-EM-01-0032: Labels match (827 epochs, FPS=4.995)

✅ A2019-EM-01-0036: Labels match (890 epochs, FPS=4.995)

✅ A2019-EM-01-0037: Labels match (660 epochs, FPS=5.0)

✅ A2019-EM-01-0038: Labels match (789 epochs, FPS=4.944444444444445)

✅ A2019-EM-01-0040: Labels match (988 epochs, FPS=4.958333333333333)

✅ A2019-EM-01-0041: Labels match (803 epochs, FPS=4.930555555555555)

✅ A2019-EM-01-0042: Labels match (872 epochs, FPS=4.995)

✅ A2019-EM-01-0043: Labels match (799 epochs, FPS=4.995)

✅ A2019-EM-01-0046: Labels match (1078 epochs, FPS=4.958333333333333)

✅ A2019-EM-01-0047: Labels match (970 epochs, FPS=4.995)

✅ A2019-EM-01-0048: Labels match (848 epochs, FPS=4.995)

✅ A2019-EM-01-0050: Labels match (862 epochs, FPS=4.930555555555555)

✅ A2019-EM-01-0051: Labels match (782 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0052: Labels match (798 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0053: Labels match (708 epochs, FPS=4.995)

✅ A2019-EM-01-0054: Labels match (871 epochs, FPS=4.995)

✅ A2019-EM-01-0055: Labels match (742 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0056: Labels match (687 epochs, FPS=4.995)

✅ A2019-EM-01-0057: Labels match (895 epochs, FPS=5.0)

✅ A2019-EM-01-0058: Labels match (936 epochs, FPS=5.0)

✅ A2019-EM-01-0060: Labels match (900 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0061: Labels match (658 epochs, FPS=4.995)

✅ A2019-EM-01-0062: Labels match (795 epochs, FPS=4.995)

✅ A2019-EM-01-0063: Labels match (1040 epochs, FPS=4.995)

✅ A2019-EM-01-0064: Labels match (873 epochs, FPS=5.0)

✅ A2019-EM-01-0065: Labels match (721 epochs, FPS=4.958333333333333)

✅ A2019-EM-01-0066: Labels match (803 epochs, FPS=4.995)

✅ A2019-EM-01-0067: Labels match (813 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0068: Labels match (838 epochs, FPS=4.995)

✅ A2019-EM-01-0069: Labels match (1058 epochs, FPS=4.995)

✅ A2019-EM-01-0070: Labels match (389 epochs, FPS=4.995)

✅ A2019-EM-01-0072: Labels match (872 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0073: Labels match (817 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0074: Labels match (780 epochs, FPS=4.995)

✅ A2019-EM-01-0076: Labels match (853 epochs, FPS=4.995)

✅ A2019-EM-01-0077: Labels match (793 epochs, FPS=4.995)

